id;address;geo;name
1;Baby hack Developer;Regional;solution Bedfordshire haptic
2;Tanzanian Plastic deposit;Orchard Incredible Arizona;indigo
3;secondary withdrawal Avon;ivory hierarchy value-added;project
4;Shoes Plastic Soft;silver;driver
5;reintermediate Pants;bypass;bandwidth Handmade
6;payment;SAS Fresh SSL;Salad Investment world-class
7;software Rubber SMS;Utah;Gorgeous Euro analyzing
8;Directives Cambridgeshire navigate;Lodge channels indexing;Virginia Fish
9;Innovative;models;Chief interface
10;Electronics port drive;interface calculate;implementation
